id_oportunidade,valor_proposta,tempo_negociacao,produto,setor_cliente,tamanho_cliente,num_reunioes,conversa_inicial,conversa_final,status_final
OPP_0000,19352.47,47,Infraestrutura,Saúde,Pequeno,9,Não houve retorno após múltiplos contatos.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0001,47585.0,12,Infraestrutura,Varejo,Médio,7,Cliente considerou o preço alto e desistiu.,Cliente considerou o preço alto e desistiu.,0
OPP_0002,36867.7,62,Infraestrutura,Indústria,Médio,2,Cliente considerou o preço alto e desistiu.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0003,30334.27,80,Infraestrutura,Indústria,Pequeno,6,Cliente considerou o preço alto e desistiu.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0004,8644.91,88,ERP,Educação,Grande,2,"Conversas fluíram bem, cliente entusiasmado com o produto.","Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0005,8643.73,83,Analytics,Indústria,Grande,1,"Após a demonstração, o cliente confirmou intenção de compra.","Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0006,3846.1,8,CRM,Saúde,Pequeno,7,Cliente não respondeu após a proposta inicial.,Cliente considerou o preço alto e desistiu.,0
OPP_0007,43442.63,21,Infraestrutura,Saúde,Grande,2,Não houve retorno após múltiplos contatos.,Cliente considerou o preço alto e desistiu.,0
OPP_0008,30454.64,81,CRM,Saúde,Médio,2,Não houve retorno após múltiplos contatos.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0009,35695.56,87,ERP,Educação,Pequeno,5,Cliente considerou o preço alto e desistiu.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0010,2008.64,80,Infraestrutura,Saúde,Pequeno,5,Cliente não respondeu após a proposta inicial.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0011,48525.58,70,Analytics,Indústria,Pequeno,7,"Após a demonstração, o cliente confirmou intenção de compra.",Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0012,41789.69,72,CRM,Varejo,Grande,1,Cliente não respondeu após a proposta inicial.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0013,11404.62,25,Infraestrutura,Varejo,Pequeno,8,Cliente considerou o preço alto e desistiu.,Não houve retorno após múltiplos contatos.,0
OPP_0014,9909.42,82,ERP,Serviços,Pequeno,3,Cliente mencionou optar por concorrente.,Cliente mencionou optar por concorrente.,0
OPP_0015,9986.82,89,Analytics,Indústria,Pequeno,4,Não houve retorno após múltiplos contatos.,Não houve retorno após múltiplos contatos.,0
OPP_0016,15907.87,12,CRM,Saúde,Grande,9,Cliente não respondeu após a proposta inicial.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0017,26713.07,15,CRM,Varejo,Médio,4,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente considerou o preço alto e desistiu.,0
OPP_0018,22165.31,59,Infraestrutura,Indústria,Pequeno,5,Cliente mencionou optar por concorrente.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0019,15270.23,26,Analytics,Varejo,Médio,7,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente não respondeu após a proposta inicial.,0
OPP_0020,30980.79,26,Analytics,Saúde,Grande,4,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente considerou o preço alto e desistiu.,0
OPP_0021,7835.2,47,Analytics,Varejo,Grande,1,Cliente mencionou optar por concorrente.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0022,15315.09,32,Analytics,Serviços,Grande,9,Cliente não respondeu após a proposta inicial.,Cliente mencionou optar por concorrente.,0
OPP_0023,18951.73,10,ERP,Serviços,Grande,4,Cliente satisfeito com o atendimento e condições comerciais.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0024,23347.43,16,Analytics,Varejo,Médio,9,Cliente não respondeu após a proposta inicial.,"Após a demonstração, o cliente confirmou intenção de compra.",1
